Permission,count
BIND_GET_INSTALL_REFERRER_SERVICE,7
com.zebra.provider.READ,7
com.symbol.emdk.permission.EMDK,7
android.permission.BATTERY_STATS,6
android.permission.health.READ_MENSTRUATION,6
android.permission.RUN_USER_INITIATED_JOBS,6
android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING,6
android.permission.MANAGE_ACCOUNTS,6
android.permission.health.WRITE_OXYGEN_SATURATION,6
android.permission.READ_PROFILE,6
android.permission.health.READ_POWER,6
com.vivo.notification.permission.BADGE_ICON,5
android.permission.READ_SMS,5
android.permission.BODY_SENSORS_BACKGROUND,5
android.permission.READ_LOGS,5
android.permission.HIDE_OVERLAY_WINDOWS,5
android.permission.health.READ_SPEED,5
com.android.launcher.permission.UNINSTALL_SHORTCUT,5
android.permission.KILL_BACKGROUND_PROCESSES,4
android.permission.health.WRITE_POWER,4
android.permission.health.READ_BONE_MASS,4
android.permission.health.WRITE_SPEED,4
android.permission.health.WRITE_ELEVATION_GAINED,4
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,4
android.permission.health.WRITE_BASAL_METABOLIC_RATE,4
android.permission.health.READ_ELEVATION_GAINED,4
android.permission.health.WRITE_RESTING_HEART_RATE,4
android.permission.health.READ_HEALTH_DATA_HISTORY,4
android.permission.health.WRITE_BODY_TEMPERATURE,4
android.permission.READ_BASIC_PHONE_STATE,4
android.permission.WRITE_INTERNAL_STORAGE,4
android.permission.READ_SYNC_STATS,4
com.sonyericsson.home.action.UPDATE_BADGE,4
android.permission.health.WRITE_HEART_RATE_VARIABILITY,4
com.android.launcher.permission.READ_SETTINGS,4
android.permission.health.READ_BODY_WATER_MASS,4
android.permission.SET_WALLPAPER,3
android.webkit.resource.AUDIO_CAPTURE,3
android.permission.SYSTEM_OVERLAY_WINDOW,3
android.webkit.resource.VIDEO_CAPTURE,3
android.permission.health.WRITE_EXERCISE_ROUTE,3
android.permission.SEND_SMS,3
android.permission.health.READ_SEXUAL_ACTIVITY,3
android.permission.health.READ_OVULATION_TEST,3
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND,3
com.google.android.permission.BIND_GET_INSTALL_REFERRER_SERVICE,3
android.permission.health.READ_INTERMENSTRUAL_BLEEDING,3
android.permission.health.READ_CERVICAL_MUCUS,3
com.facebook.katana.provider.ACCESS,3
android.permission.BLUETOOTH_PRIVILEGED,3
android.permission.health.WRITE_VO2_MAX,2
android.permission.PROCESS_OUTGOING_CALLS,2
android.permission.health.WRITE_OVULATION_TEST,2
com.android.launcher3.permission.READ_SETTINGS,2
com.htc.launcher.permission.WRITE_SETTINGS,2
android.permission.health.WRITE_CERVICAL_MUCUS,2
com.lge.launcher.permission.READ_SETTINGS,2
com.lge.launcher.permission.WRITE_SETTINGS,2
android.permission.STORAGE,2
android.permission.GALLERY,2
com.android.launcher3.permission.WRITE_SETTINGS,2
android.permission.GET_PACKAGE_SIZE,2
android.permission.health.WRITE_FLOORS_CLIMBED,2
com.samsung.WATCH_APP_TYPE.Companion,2
com.fingerprints.service.ACCESS_FINGERPRINT_MANAGER,2
android.permission.REQUEST_DELETE_PACKAGES,2
android.permission.health.WRITE_LEAN_BODY_MASS,2
android.permission.health.READ_EXERCISE_ROUTES,2
,2
com.dsi.ant.permission.ANT_ADMIN,2
android.permission.READ_INTERNAL_STORAGE,2
android.permission.READ_PRIVILEGED_PHONE_STATE,2
android.permission.health.WRITE_RESPIRATORY_RATE,2
com.android.launcher.permission.WRITE_SETTINGS,2
com.android.launcher2.permission.READ_SETTINGS,2
com.android.launcher2.permission.WRITE_SETTINGS,2
android.permission.health.WRITE_BODY_WATER_MASS,2
com.dsi.ant.permission.ANT,2
android.permission.BAIDU_LOCATION_SERVICE,2
android.permission.IGNORE_BATTERY_OPTIMIZATIONS_REQUEST,2
com.sec.android.app.twlauncher.settings.WRITE_SETTINGS,2
com.sec.android.app.twlauncher.settings.READ_SETTINGS,2
com.hihonor.android.launcher.permission.CHANGE_BADGE,2
com.huawei.launcher3.permission.WRITE_SETTINGS,2
com.google.android.wearable.permission.RECEIVE_COMPLICATION_DATA,2
android.permission.NEARBY_WIFI_DEVICES,2
com.huawei.launcher2.permission.READ_SETTINGS,2
android.permission.health.WRITE_BONE_MASS,2
com.huawei.launcher2.permission.WRITE_SETTINGS,2
android.permission.BILLING,2
android.permission.DEVICE_POWER,2
com.huawei.launcher3.permission.READ_SETTINGS,2
android.permission.MANAGE_DOCUMENTS,2
com.alivecor.aliveecg.permission.C2D_MESSAGE,1
com.daily.bloodpressure.sugar.tracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.samsung.permission.SSENSOR_HRM_RAW_PPG,1
org.iggymedia.periodtracker.permission.C2D_MESSAGE,1
com.workithealth.workitapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.medscape.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
homeworkoutapp.homeworkout.fitness.workout.loseweight.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.samsung.accessory.permission.ACCESSORY_FRAMEWORK,1
com.upmc.enterprises.myupmc.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.unchealthcare.go.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.tigertext.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.sillens.shapeupclub.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.sillens.shapeupclub.permission.C2D_MESSAGE,1
io.pdcgs.buzzrxconsumer.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.welltory.client.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.uploss.health.fasting.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.sanfordhealth.patient.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.health.WRITE_BASAL_BODY_TEMPERATURE,1
com.kareheroes.permission.C2D_MESSAGE,1
com.ecw.healow.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.lifetimefitness.interests.fitness.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.vshred.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.tayu.tau.pedometer.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.health.WRITE_SEXUAL_ACTIVITY,1
org.iggymedia.periodtracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.samsung.android.iap.permission.BILLING,1
com.meizu.flyme.launcher.permission.WRITE_SETTINGS,1
android.permission.WRITE_MEDIA_STORAGE,1
com.renpho.health.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.meizu.flyme.launcher.permission.READ_SETTINGS,1
com.byram.mybyram.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.bbk.launcher2.permission.WRITE_SETTINGS,1
com.bbk.launcher2.permission.READ_SETTINGS,1
com.lge.launcher3.permission.WRITE_SETTINGS,1
com.lge.launcher3.permission.READ_SETTINGS,1
com.lge.launcher2.permission.WRITE_SETTINGS,1
com.lge.launcher2.permission.READ_SETTINGS,1
com.qingniu.renpho.thirdProVider.read,1
com.hrd.motivation.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.DevExtras.VoiceTools.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.fidoalliance.uaf.permissions.FIDO_CLIENT,1
com.highsecure.bloodpresure.bloodsugar.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.kompanion.habit.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.rocateer.mediscount.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ingenovishealth.CandidatePortal.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
bloodpressure.bloodpressureapp.bloodpressuretracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
swiftflyers.homeworkout.chair.floor.bed.exercise.forlazy.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.UPDATE_APP_WIDGETS,1
com.lifemd.care.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.pg.oralb.oralbapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.meditech.PatientPhm.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.singlecare.scma.permission.MAPS_RECEIVE,1
com.singlecare.scma.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.alivecor.aliveecg.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.daily.bloodpressure.sugar.tracker.internal.broadcast.permissions,1
com.himshers.hers.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.bpfit.bloodpressure.health.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.revdoc.member.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.twentythreeandme.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.PERMISSION_GRANTED,1
stepcounter.pedometer.stepstracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ihealthlabs.MyVitalsPro.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
edu.osumc.healthassistant.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
bst.blood.sugar.tracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.periodtracker.periodcalendar.ovulation.periodcycle.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ectosense.nightowl.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.castlight.clh.view.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
mobi.firedepartment.permission.C2D_MESSAGE,1
mobi.firedepartment.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.WRITE_APN_SETTINGS,1
com.ninety8point6.patientapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.macadamapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.weward.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.REQUEST_COMPANION_START_FOREGROUND_SERVICES_FROM_BACKGROUND,1
com.engagedin.freshtri.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.nvamobilegp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.Ochsner.My.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.VIDEO_CAPTURE,1
android.permission.AUDIO_CAPTURE,1
com.museLIVE.quabbleapp.permission.C2D_MESSAGE,1
com.museLIVE.quabbleapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.gen.workoutme.permission.C2D_MESSAGE,1
watertracker.waterreminder.watertrackerapp.drinkwater.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.groundspeak.geocaching.intro.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.naturalcycles.cordova.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.abbvie.patientapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.wellcare.pdp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.healthapplines.healthsense.bloodsugarhub.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.uptodate.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.premisehealth.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.simplepractice.video.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.gen.workoutme.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ascensia.contour.us.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.buoysoftware.parachute.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.iuhealth.healthelife.play.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.health.READ_EXERCISE_SESSIONS,1
android.permission.health.WRITE_EXERCISE_SESSIONS,1
android.permission.health.READ_EXERCISE_SEGMENTS,1
android.permission.health.WRITE_EXERCISE_SEGMENTS,1
android.permission.health.WRITE_EXERCISE_ROUTES,1
com.kanrad.kantimemobile.permission.C2D_MESSAGE,1
com.myfitnesspal.android.permission.C2D_MESSAGE,1
com.myfitnesspal.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.elevatelabs.geonosis.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.smartwidgetlabs.fitbitandroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.allergan.bd.bdmobileapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.Manifest.permission.MODIFY_AUDIO_SETTINGS,1
com.zocdoc.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
io.foodvisor.foodvisor.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.alphaprogression.alphaprogression.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.MANAGE_MEDIA,1
com.octapharma.OctaApp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.usi.ebmobile.permission.C2D_MESSAGE,1
com.usi.ebmobile.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.health.WRITE_ACTIVITY_INTENSITY,1
android.permission.health.WRITE_MENSTRUATION,1
android.permission.health.WRITE_MINDFULNESS,1
android.permission.health.WRITE_INTERMENSTRUAL_BLEEDING,1
com.vca.careclub.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.bcbsm.mmaprod.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.BLUETOOTH_CONNECT ,1
com.tjd.lelife.permission.JPUSH_MESSAGE,1
com.tjd.tjdmainS2.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.novanthealth.mynovant.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.bob.geha.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.modivcareriderapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.vca.careclub.permission.C2D_MESSAGE,1
com.bcbsm.mmaprod.verint.xm.sdk.RECEIVE_DELETE_ACTION_BROADCAST,1
com.ovuline.fertility.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.veepoo.hband.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
de.fastic.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.motorola.permission.ACCESS_BT_HEART_RATE_MONITOR,1
com.mapmywalk.android2.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.hioscar.member.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
hh.rr.heart.rate.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ppfa.direct.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.secure.mypennmedicine.mypennmed.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ouraring.oura.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.water.reminder.tracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.hct2.nursegrid.android.web.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.connexx.rta.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.shiftkey.provider.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.nyulmc.clinical.mychart.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.froedtert.care.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.froedtert.care.sdk.permission-group.ipc.sender,1
com.americanwell.android.member.wellpoint.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.dribbleupmedball.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.firststophealth.permission.C2D_MESSAGE,1
com.bloodsugar.bloodpressure.bloodsugartracking.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.nursefly.NurseFlyMobile.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.bodyfast.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.bodyfast.permission.C2D_MESSAGE,1
com.lifefitness.connect.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
de.docmorris.pharmacyapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.counter.setp.pedometer.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.nativescript.LibreLinkUp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.fourtechnologies.mynetdiary.ad.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.marathonhealth.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.gms.permission.ACTIVITY_RECOGNITION,1
com.anytimefitness.userapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
leafly.android.permission.C2D_MESSAGE,1
org.vitalant.donors.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.signia.rta.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.huawei.android.launcher.permission.CHANGE_BADGE ,1
org.vitalant.donors.permission.UA_DATA,1
com.watch.life.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
gen.tech.impulse.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.lifestyle.relief.anxiety.stress.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.MODIFY_PHONE_STATE,1
android.permission.CHANGE_CONFIGURATION,1
com.winwalk.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.winwalk.android.permission.C2D_MESSAGE,1
com.wellfra.me.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
android.permission.ACTION_NOTIFICATION_LISTENER_SETTINGS,1
com.wellfra.me.permission.C2D_MESSAGE,1
com.tomsmucenieks.asimplevibrator.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.czw.freefit.openadsdk.permission.TT_PANGOLIN,1
android.permission.MAPS_RECEIVE,1
com.android.providers.media.MediaProvider,1
com.vsee.clinic.release.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.yomaster.workout.fitness.yoga.yogaworkout.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.female.inspire.workout.shefitness.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
pilatesworkout.yogaworkout.loseweight.workoutapps.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.asus.msa.SupplementaryDID.ACCESS,1
com.czw.freefit.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
org.houstonmethodist.methodistmobile.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.vc.thedeepcentric.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.americanwell.android.member.amwell.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.nursa.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.amomedia.madmuscles.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
epic.mychart.MyChart,1
org.stanfordhealthcare.myhealth.permission.C2D_MESSAGE,1
android.permission.ACCESS_LOCATION,1
org.stanfordhealthcare.myhealth.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
